menu,amount,kcal
คุ้กกี้ข้าวโอ๊ต,1 ชิ้น,75
คุ้กกี้ชาเขียว,1 ชิ้น,75
คุ้กกี้ช็อคโกแลตชิพ,1 ชิ้น,215
คุ้กกี้สิงคโปร์,1 ชิ้น,95
คุ้กกี้เนย,1 ชิ้น,105
คุ้กกี้ไส้สับปะรด,1 ชิ้น,190
ชาดำเย็น,1 แก้ว,110
ชามะนาว,1 แก้ว,100
ชาร้อน,1 แก้ว,55
ชาเย็น,1 แก้ว,100
ช็อคโกแลตร้อน,1 แก้ว,120
ถั่วลิสงแผ่นทอด,1 แผ่น,150
ถั่วลิสงต้ม,1 ช้อนโต๊ะ,45
ถั่วเขียวต้มน้ำตาล,1 ถ้วยเล็ก,160
ทองหยิบ,1 ดอก,105
ทุเรียนกวน,1 ช้อนโต๊ะ,115
น้ำนมข้าวโพด,1 แก้ว,80
น้ำตาลทราย,1 ช้อนชา,20
น้ำฝรั่ง,1 กล่อง,100
บราวนี่,1 ชิ้น,340
น้ำใบเตย,1 แก้ว,120
น้ำใบบัวบก,1 แก้ว,120
พายกรอบ,1 ชิ้น,118
พายชีสบูลเบอร์รี่,1 ชิ้น,350
พายทูน่า,1 ชิ้น,280
พิซซ่าขอบไส้กรอกชีส,1 ชิ้น,340
พิซซ่าทะเล,1 ชิ้น,335
พิซซ่าฮาวายเอี้ยน,1 ชิ้น,345
พิซซ่าไส้กรอก,1 ชิ้น,290
ฟักทองเชื่อม,1 จาน,167
มะกอกทรงเครื่อง,1 ผล,33
มะขามหวาน,1 ฝัก,30
มะม่วงอกร่องสุก,1 ชิ้น,15
มันฝรั่งแผ่น,1 ชิ้น,13
มันเทศเชื่อม,1 ถ้วยเล็ก,230
มันแกงบวด,1 ถ้วยเล็ก,184
มาการีน,1 ช้อนชา,45
รวมมิตร,1 ถ้วยเล็ก,230
ลูกชิ้นปิ้ง,1 ไม้,165
ลูกตาลลอยแก้ว,1 ถ้วย,180
ลูกเกด,1 เม็ด,4
วุ้นมะพร้าวอ่อน,1 ชิ้น,80
สังขยา,1 ชิ้นเล็ก,204
สังขยาฟักทอง,1 ชิ้นเล็ก,288
สังขยาเผือก,1 ชิ้นเล็ก,222
เกี๊ยวกรอบ,1 ชิ้น,78
เค้กกล้วยหอม,1 ชิ้น,370
เค้กช็อคโกแลต,1 ชิ้น,275
เค้กเนย,1 ชิ้น,255
เค้กใบเตย,1 ชิ้น,250
เต้าหู้เหลือง,1 ชิ้น,90
แซนวิชแฮมชีส,1 คู่,290
แซนวิชทูน่า,1 คู่,180
แซนวิชไก่,1 คู่,240
แยมโรล,1 ชิ้น,310
แฮมเบอร์เกอร์ไก่ชีส,1 ชิ้น,280
แฮมเบอร์เกอร์หมู,1 ชิ้น,245
โดนัท,1 ชิ้น,270
โรตีสายไหม,1 ชิ้น,145
ไอศกรีมกะทิ,1 ก้อน,108
ไอศกรีมกาแฟ,1 ก้อน,142
ไอศกรีมชอกโกแล็ต,1 ก้อน,110
ไอศกรีมวนิลลา,1 ก้อน,140
ไอศกรีมสตรอเบอรี่,1 ก้อน,110
ไอศกรีมเรซิน,1 ก้อน,264
แฮม,1 ชิ้น,100
